fecha,day,month,week,estacion,linea,pasajeros
2019-01-01,1,1,1,linea A - acoyte,A,1252
2019-01-01,1,1,1,linea A - alberti,A,453
2019-01-01,1,1,1,linea A - carabobo,A,913
2019-01-01,1,1,1,linea A - castro barros,A,955
2019-01-01,1,1,1,linea A - congreso,A,1208
2019-01-01,1,1,1,linea A - flores,A,933
2019-01-01,1,1,1,linea A - lima,A,787
2019-01-01,1,1,1,linea A - loria,A,1027
2019-01-01,1,1,1,linea A - pasco,A,308
2019-01-01,1,1,1,linea A - peru,A,586
2019-01-01,1,1,1,linea A - piedras,A,365
2019-01-01,1,1,1,linea A - plaza de mayo,A,1204
2019-01-01,1,1,1,linea A - plaza miserere,A,1915
2019-01-01,1,1,1,linea A - primera junta,A,1173
2019-01-01,1,1,1,linea A - puan,A,528
2019-01-01,1,1,1,linea A - rio de janeiro,A,582
2019-01-01,1,1,1,linea A - saenz peãâ±a,A,745
2019-01-01,1,1,1,linea A - san pedrito,A,1948
2019-01-01,1,1,1,linea B - angel gallardo,B,1257
2019-01-01,1,1,1,linea B - callao,B,1288
2019-01-01,1,1,1,linea B - carlos gardel,B,1690
2019-01-01,1,1,1,linea B - carlos pellegrini,B,2825
2019-01-01,1,1,1,linea B - dorrego,B,808
2019-01-01,1,1,1,linea B - echeverria,B,629
2019-01-01,1,1,1,linea B - federico lacroze,B,3348
2019-01-01,1,1,1,linea B - florida,B,537
2019-01-01,1,1,1,linea B - leandro n. alem,B,2264
2019-01-01,1,1,1,linea B - los incas,B,907
2019-01-01,1,1,1,linea B - malabia,B,1277
2019-01-01,1,1,1,linea B - medrano,B,1255
2019-01-01,1,1,1,linea B - pasteur,B,675
2019-01-01,1,1,1,linea B - pueyrredon,B,677
2019-01-01,1,1,1,linea B - rosas,B,2299
2019-01-01,1,1,1,linea B - tronador,B,305
2019-01-01,1,1,1,linea B - uruguay,B,582
2019-01-01,1,1,1,linea C - avenida de mayo,C,633
2019-01-01,1,1,1,linea C - constitucion,C,13364
2019-01-01,1,1,1,linea C - diagonal norte,C,267
2019-01-01,1,1,1,linea C - general san martin,C,714
2019-01-01,1,1,1,linea C - independencia,C,837
2019-01-01,1,1,1,linea C - lavalle,C,638
2019-01-01,1,1,1,linea C - mariano moreno,C,415
2019-01-01,1,1,1,linea C - retiro,C,6151
